"","game.id","outcome","abbrvs","conference","name","pts","rank"
"443",222,"l","ALCORN","FCS","Alcorn State",0,26
"444",222,"w","ARKST","Sun Belt","Arkansas State",56,26
"445",223,"l","SFU","Big East","South Florida",27,26
"446",223,"w","BALL","Mid-American","Ball State",31,26
"447",224,"l","IOWA","Big Ten","Iowa",31,26
"448",224,"w","CMU","Mid-American","Central Michigan",32,26
"449",225,"l","WSU","Pac-12","Washington State",34,26
"450",225,"w","COL","Pac-12","Colorado",35,26
"451",226,"l","MEM","Conference USA","Memphis",14,26
"452",226,"w","DUKE","Atlantic Coast","Duke",38,26
"453",227,"l","UK","Southeastern","Kentucky",0,26
"454",227,"w","UF","Southeastern","Florida",38,14
"455",228,"l","CLEM","Atlantic Coast","Clemson",37,10
"456",228,"w","FSU","Atlantic Coast","Florida State",49,4
"457",229,"l","VAN","Southeastern","Vanderbilt",3,26
"458",229,"w","UGA","Southeastern","Georgia",48,5
"459",230,"l","OU","Big 12","Oklahoma",19,6
"460",230,"w","KSU","Big 12","Kansas State",24,15
"461",231,"l","AUB","Southeastern","Auburn",10,26
"462",231,"w","LSU","Southeastern","Louisiana State",12,2
"463",232,"l","IL","Big Ten","Illinois",24,26
"464",232,"w","LTU","Western Athletic","Louisiana Tech",52,26
"465",233,"l","FIU","Sun Belt","Florida International",21,26
"466",233,"w","LOU","Big East","Louisville",28,20
"467",234,"l","RICE","Conference USA","Rice",51,26
"468",234,"w","MAR ","Conference USA","Marshall",54,26
"469",235,"l","GT","Atlantic Coast","Georgia Tech",36,26
"470",235,"w","MIA","Atlantic Coast","Miami FL",42,26
"471",236,"l","UMASS","Mid-American","Massachusetts",16,26
"472",236,"w","MIA-O","Mid-American","Miami OH",27,26
"473",237,"l","EMU","Mid-American","Eastern Michigan",7,26
"474",237,"w","MSU","Big Ten","Michigan State",23,21
"475",238,"l","SYR","Big East","Syracuse",10,26
"476",238,"w","MINN","Big Ten","Minnesota",17,26
