"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"395","7","24","Boise State","20","","Unranked","Fresno State","10"
"396","7","Unranked","Bowling Green State","37","","Unranked","Miami OH","12"
"397","7","Unranked","California","31","@","Unranked","Washington State","17"
"398","7","Unranked","Central Florida","38","","Unranked","Southern Mississippi","31"
"399","7","21","Cincinnati","49","","Unranked","Fordham","17"
"400","7","Unranked","East Carolina","41","","Unranked","Memphis","7"
"401","7","4","Florida","31","@","Unranked","Vanderbilt","17"
"402","7","12","Florida State","51","","Unranked","Boston College","7"
"403","7","Unranked","Houston","39","","Unranked","Alabama-Birmingham","17"
"404","7","Unranked","Iowa","19","@","Unranked","Michigan State","16"
"405","7","6","Kansas State","27","@","Unranked","Iowa State","21"
"406","7","Unranked","Kent State","31","@","Unranked","Army","17"
"407","7","9","Louisiana State","23","","3","South Carolina","21"
"408","7","Unranked","Louisiana-Monroe","35","","Unranked","Florida Atlantic","14"
"409","7","18","Louisville","45","@","Unranked","Pittsburgh","35"
"410","7","Unranked","Maryland","27","@","Unranked","Virginia","20"
"411","7","25","Michigan","45","","Unranked","Illinois","0"
"412","7","Unranked","Middle Tennessee State","34","@","Unranked","Florida International","30"
"413","7","Unranked","Mississippi","41","","Unranked","Auburn","20"
"414","7","19","Mississippi State","41","","Unranked","Tennessee","31"
"415","7","Unranked","Nevada","42","@","Unranked","Nevada-Las Vegas","37"
"416","7","Unranked","New Mexico","35","@","Unranked","Hawaii","23"
"417","7","Unranked","North Carolina","18","@","Unranked","Miami FL","14"
"418","7","Unranked","Northern Illinois","45","","Unranked","Buffalo","3"
"419","7","Unranked","Northwestern","21","@","Unranked","Minnesota","13"
"420","7","7","Notre Dame","20","","17","Stanford","13"
"421","7","Unranked","Ohio","34","","Unranked","Akron","28"
"422","7","8","Ohio State","52","@","Unranked","Indiana","49"
"423","7","13","Oklahoma","63","","15","Texas","21"
